Molecule 1,Molecule 2,Distance
CRW_5S_B_B_18_nH,CRW_5S_B_P_33_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_34_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_35_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_37_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_38_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_39_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_3_nH,2
CRW_5S_B_B_18_nH,CRW_5S_B_P_40_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_41_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_42_nH,2
CRW_5S_B_B_18_nH,CRW_5S_B_P_43_nH,2
CRW_5S_B_B_18_nH,CRW_5S_B_P_45_nH,6
CRW_5S_B_B_18_nH,CRW_5S_B_P_46_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_47_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_48_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_57_nH,3
CRW_5S_B_B_18_nH,CRW_5S_B_P_58_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_59_nH,2
CRW_5S_B_B_18_nH,CRW_5S_B_P_5_nH,3
CRW_5S_B_B_18_nH,CRW_5S_B_P_60_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_61_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_62_nH,1
CRW_5S_B_B_18_nH,CRW_5S_B_P_63_nH,1
