Molecule 1,Molecule 2,Distance
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_1_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_26_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_27_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_28_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_29_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_2_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_33_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_34_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_35_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_37_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_38_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_39_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_3_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_40_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_41_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_42_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_43_nH,200.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_45_nH,400.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_46_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_47_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_48_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_57_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_58_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_59_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_5_nH,200.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_60_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_61_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_62_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_63_nH,0.0
