Method,Rand_score,Homogeneity_score,completeness_score,adjusted_rand_score
single,0.8769230769230769,0.7299211556003127,0.8014689976378977,0.640844292186982
complete,0.88,0.7375753738234472,0.7181418826865402,0.6089773253123554
average,0.8584615384615385,0.6757534324983552,0.736720278410112,0.5823789038493771
