Method,Rand_score,Homogeneity_score,completeness_score
single,0.8995215311004785,0.005003058815419698,0.005003058815419698
complete,0.6134654818865345,0.1694362663296347,0.03655525834644405
average,0.9251537935748462,0.5031353070294071,0.367761261567853
